act: Idle  | ter: False | rew: -1 | pos:  1.685 | vel: -0.410
act: Down  | ter: False | rew: -1 | pos:  1.508 | vel: -3.156
act: Up    | ter: False | rew: 1  | pos:  1.286 | vel: -1.262
act: Up    | ter: False | rew: 1  | pos:  1.269 | vel:  0.938
act: Idle  | ter: False | rew: 1  | pos:  1.314 | vel: -0.039
act: Up    | ter: False | rew: 1  | pos:  1.399 | vel:  1.754
act: Idle  | ter: False | rew: -1 | pos:  1.520 | vel:  0.646
act: Idle  | ter: False | rew: -1 | pos:  1.520 | vel: -0.659
act: Up    | ter: False | rew: -1 | pos:  1.543 | vel:  1.140
act: Idle  | ter: False | rew: -1 | pos:  1.604 | vel:  0.076
act: Idle  | ter: False | rew: -1 | pos:  1.550 | vel: -1.179
act: Up    | ter: False | rew: -1 | pos:  1.523 | vel:  0.672
act: Idle  | ter: False | rew: -1 | pos:  1.540 | vel: -0.340
act: Up    | ter: False | rew: -1 | pos:  1.595 | vel:  1.456
act: Idle  | ter: False | rew: -1 | pos:  1.686 | vel:  0.356
act: Idle  | ter: False | rew: -1 | pos:  1.658 | vel: -0.937
act: Up    | ter: False | rew: -1 | pos:  1.654 | vel:  0.876
act: Up    | ter: False | rew: -1 | pos:  1.838 | vel:  2.828
act: Idle  | ter: False | rew: -1 | pos:  2.060 | vel:  1.589
act: Down  | ter: False | rew: -1 | pos:  2.072 | vel: -1.373
act: Idle  | ter: False | rew: -1 | pos:  1.868 | vel: -2.727
act: Up    | ter: False | rew: -1 | pos:  1.692 | vel: -0.771
act: Up    | ter: False | rew: -1 | pos:  1.720 | vel:  1.348
act: Idle  | ter: False | rew: -1 | pos:  1.802 | vel:  0.279
act: Idle  | ter: False | rew: -1 | pos:  1.765 | vel: -1.016
act: Up    | ter: False | rew: -1 | pos:  1.753 | vel:  0.794
act: Up    | ter: False | rew: -1 | pos:  1.929 | vel:  2.743
act: Idle  | ter: False | rew: -1 | pos:  2.142 | vel:  1.503
act: Down  | ter: False | rew: -1 | pos:  2.146 | vel: -1.459
act: Idle  | ter: False | rew: -1 | pos:  1.933 | vel: -2.812
act: Up    | ter: False | rew: -1 | pos:  1.749 | vel: -0.854
act: Up    | ter: False | rew: -1 | pos:  1.768 | vel:  1.267
act: Up    | ter: False | rew: -1 | pos:  1.991 | vel:  3.201
act: Idle  | ter: False | rew: -1 | pos:  2.247 | vel:  1.910
act: Down  | ter: False | rew: -1 | pos:  2.288 | vel: -1.107
act: Idle  | ter: False | rew: -1 | pos:  2.108 | vel: -2.513
act: Idle  | ter: False | rew: -1 | pos:  1.803 | vel: -3.606
act: Up    | ter: False | rew: -1 | pos:  1.545 | vel: -1.534
act: Up    | ter: False | rew: -1 | pos:  1.501 | vel:  0.683
act: Idle  | ter: False | rew: -1 | pos:  1.521 | vel: -0.291
act: Up    | ter: False | rew: -1 | pos:  1.581 | vel:  1.506
act: Down  | ter: False | rew: -1 | pos:  1.603 | vel: -1.096
act: Down  | ter: False | rew: 1  | pos:  1.355 | vel: -3.894
act: Up    | ter: False | rew: 4  | pos:  1.063 | vel: -1.920
act: Down  | ter: False | rew: 2  | pos:  0.762 | vel: -4.127
act: Up    | ter: False | rew: -1 | pos:  0.454 | vel: -2.013
act: Up    | ter: False | rew: -1 | pos:  0.370 | vel:  0.363
act: Up    | ter: False | rew: 1  | pos:  0.515 | vel:  2.549
act: Down  | ter: False | rew: 1  | pos:  0.643 | vel: -0.008
act: Idle  | ter: False | rew: 1  | pos:  0.578 | vel: -1.308
act: Down  | ter: False | rew: -1 | pos:  0.321 | vel: -3.852
act: Up    | ter: False | rew: -1 | pos:  0.040 | vel: -1.754
act: Down  | ter: False | rew: -1 | pos: -0.240 | vel: -3.862
act: Up    | ter: False | rew: -1 | pos: -0.517 | vel: -1.663
act: Up    | ter: False | rew: -1 | pos: -0.562 | vel:  0.786
act: Up    | ter: False | rew: -1 | pos: -0.373 | vel:  3.031
act: Up    | ter: False | rew: -1 | pos:  0.029 | vel:  5.024
act: Idle  | ter: False | rew: -1 | pos:  0.469 | vel:  3.762
act: Down  | ter: False | rew: 1  | pos:  0.696 | vel:  0.750
act: Up    | ter: False | rew: 2  | pos:  0.849 | vel:  2.327
act: Down  | ter: False | rew: 4  | pos:  0.952 | vel: -0.302
act: Down  | ter: False | rew: 2  | pos:  0.782 | vel: -3.113
act: Up    | ter: False | rew: 1  | pos:  0.568 | vel: -1.157
act: Down  | ter: False | rew: -1 | pos:  0.342 | vel: -3.389
act: Up    | ter: False | rew: -1 | pos:  0.106 | vel: -1.306
act: Down  | ter: False | rew: -1 | pos: -0.132 | vel: -3.465
act: Up    | ter: False | rew: -1 | pos: -0.372 | vel: -1.319
act: Up    | ter: False | rew: -1 | pos: -0.385 | vel:  1.077
act: Up    | ter: False | rew: -1 | pos: -0.169 | vel:  3.272
act: Up    | ter: False | rew: -1 | pos:  0.255 | vel:  5.216
act: Idle  | ter: False | rew: 1  | pos:  0.711 | vel:  3.908
act: Down  | ter: False | rew: 4  | pos:  0.951 | vel:  0.854
act: Up    | ter: False | rew: 4  | pos:  1.113 | vel:  2.391
act: Down  | ter: False | rew: 2  | pos:  1.220 | vel: -0.275
act: Up    | ter: False | rew: 1  | pos:  1.274 | vel:  1.382
act: Up    | ter: False | rew: -1 | pos:  1.508 | vel:  3.308
act: Down  | ter: False | rew: -1 | pos:  1.702 | vel:  0.554
act: Up    | ter: False | rew: -1 | pos:  1.833 | vel:  2.075
act: Down  | ter: False | rew: -1 | pos:  1.906 | vel: -0.635
act: Up    | ter: False | rew: -1 | pos:  1.923 | vel:  0.983
act: Up    | ter: False | rew: -1 | pos:  2.115 | vel:  2.878
act: Down  | ter: False | rew: -1 | pos:  2.266 | vel:  0.102
act: Down  | ter: False | rew: -1 | pos:  2.127 | vel: -2.893
act: Idle  | ter: False | rew: -1 | pos:  1.778 | vel: -4.111
act: Up    | ter: False | rew: 1  | pos:  1.471 | vel: -2.001
act: Idle  | ter: False | rew: 2  | pos:  1.235 | vel: -2.728
act: Up    | ter: False | rew: 4  | pos:  1.065 | vel: -0.646
act: Up    | ter: False | rew: 4  | pos:  1.109 | vel:  1.536
act: Up    | ter: False | rew: 1  | pos:  1.360 | vel:  3.516
act: Down  | ter: False | rew: -1 | pos:  1.576 | vel:  0.763
act: Up    | ter: False | rew: -1 | pos:  1.727 | vel:  2.277
act: Down  | ter: False | rew: -1 | pos:  1.820 | vel: -0.442
act: Up    | ter: False | rew: -1 | pos:  1.855 | vel:  1.165
act: Up    | ter: False | rew: -1 | pos:  2.065 | vel:  3.049
act: Down  | ter: False | rew: -1 | pos:  2.232 | vel:  0.260
act: Idle  | ter: False | rew: -1 | pos:  2.183 | vel: -1.248
act: Idle  | ter: False | rew: -1 | pos:  1.997 | vel: -2.480
act: Up    | ter: False | rew: -1 | pos:  1.845 | vel: -0.548
act: Up    | ter: False | rew: -1 | pos:  1.893 | vel:  1.532
act: Idle  | ter: False | rew: -1 | pos:  1.992 | vel:  0.424
act: Idle  | ter: False | rew: -1 | pos:  1.968 | vel: -0.907
act: Up    | ter: False | rew: -1 | pos:  1.965 | vel:  0.868
act: Down  | ter: False | rew: -1 | pos:  1.924 | vel: -1.714
act: Up    | ter: False | rew: -1 | pos:  1.839 | vel:  0.017
act: Down  | ter: False | rew: -1 | pos:  1.717 | vel: -2.477
