act: Idle  | ter: False | rew: -1 | pos:  0.381 | vel: -0.778
act: Up    | ter: False | rew: -1 | pos:  0.399 | vel:  1.161
act: Idle  | ter: False | rew: -1 | pos:  0.469 | vel:  0.224
act: Idle  | ter: False | rew: -1 | pos:  0.435 | vel: -0.919
act: Up    | ter: False | rew: -1 | pos:  0.439 | vel:  1.030
act: Up    | ter: False | rew: 1  | pos:  0.645 | vel:  3.102
act: Idle  | ter: False | rew: 4  | pos:  0.899 | vel:  1.969
act: Up    | ter: False | rew: 2  | pos:  1.176 | vel:  3.597
act: Idle  | ter: False | rew: 1  | pos:  1.473 | vel:  2.320
act: Idle  | ter: False | rew: -1 | pos:  1.632 | vel:  0.843
act: Up    | ter: False | rew: -1 | pos:  1.797 | vel:  2.471
act: Idle  | ter: False | rew: -1 | pos:  1.983 | vel:  1.238
act: Up    | ter: False | rew: -1 | pos:  2.185 | vel:  2.818
act: Down  | ter: False | rew: -1 | pos:  2.328 | vel:  0.009
act: Down  | ter: False | rew: -1 | pos:  2.180 | vel: -2.987
act: Down  | ter: False | rew: -1 | pos:  1.747 | vel: -5.701
act: Up    | ter: False | rew: 1  | pos:  1.282 | vel: -3.587
act: Up    | ter: False | rew: 4  | pos:  1.044 | vel: -1.143
act: Idle  | ter: False | rew: 4  | pos:  0.893 | vel: -1.876
act: Idle  | ter: False | rew: 1  | pos:  0.658 | vel: -2.841
act: Up    | ter: False | rew: -1 | pos:  0.479 | vel: -0.714
act: Idle  | ter: False | rew: -1 | pos:  0.371 | vel: -1.463
act: Idle  | ter: False | rew: -1 | pos:  0.177 | vel: -2.417
act: Up    | ter: False | rew: -1 | pos:  0.041 | vel: -0.281
act: Idle  | ter: False | rew: -1 | pos: -0.024 | vel: -1.026
act: Up    | ter: False | rew: -1 | pos: -0.025 | vel:  1.019
act: Up    | ter: False | rew: -1 | pos:  0.182 | vel:  3.148
act: Idle  | ter: False | rew: -1 | pos:  0.443 | vel:  2.062
act: Idle  | ter: False | rew: 1  | pos:  0.584 | vel:  0.732
act: Down  | ter: False | rew: 1  | pos:  0.521 | vel: -2.010
act: Up    | ter: False | rew: -1 | pos:  0.413 | vel: -0.126
act: Up    | ter: False | rew: 1  | pos:  0.509 | vel:  2.052
act: Idle  | ter: False | rew: 1  | pos:  0.664 | vel:  1.043
act: Down  | ter: False | rew: 1  | pos:  0.632 | vel: -1.704
act: Up    | ter: False | rew: 1  | pos:  0.553 | vel:  0.139
act: Down  | ter: False | rew: -1 | pos:  0.450 | vel: -2.227
act: Up    | ter: False | rew: -1 | pos:  0.324 | vel: -0.277
act: Up    | ter: False | rew: -1 | pos:  0.405 | vel:  1.931
act: Idle  | ter: False | rew: 1  | pos:  0.549 | vel:  0.946
act: Idle  | ter: False | rew: 1  | pos:  0.583 | vel: -0.278
act: Up    | ter: False | rew: 1  | pos:  0.648 | vel:  1.587
act: Idle  | ter: False | rew: 2  | pos:  0.757 | vel:  0.577
act: Idle  | ter: False | rew: 2  | pos:  0.754 | vel: -0.636
act: Down  | ter: False | rew: 1  | pos:  0.561 | vel: -3.253
act: Up    | ter: False | rew: -1 | pos:  0.335 | vel: -1.243
act: Up    | ter: False | rew: -1 | pos:  0.325 | vel:  1.062
act: Idle  | ter: False | rew: -1 | pos:  0.388 | vel:  0.178
act: Idle  | ter: False | rew: -1 | pos:  0.350 | vel: -0.947
act: Up    | ter: False | rew: -1 | pos:  0.352 | vel:  1.014
act: Idle  | ter: False | rew: -1 | pos:  0.408 | vel:  0.098
act: Idle  | ter: False | rew: -1 | pos:  0.362 | vel: -1.025
act: Idle  | ter: False | rew: -1 | pos:  0.209 | vel: -2.057
act: Up    | ter: False | rew: -1 | pos:  0.106 | vel:  0.033
act: Down  | ter: False | rew: -1 | pos: -0.003 | vel: -2.252
act: Up    | ter: False | rew: -1 | pos: -0.129 | vel: -0.247
act: Up    | ter: False | rew: -1 | pos: -0.042 | vel:  2.008
act: Up    | ter: False | rew: -1 | pos:  0.260 | vel:  4.066
act: Down  | ter: False | rew: 1  | pos:  0.534 | vel:  1.379
act: Up    | ter: False | rew: 1  | pos:  0.749 | vel:  2.944
act: Idle  | ter: False | rew: 4  | pos:  0.985 | vel:  1.765
act: Up    | ter: False | rew: 2  | pos:  1.243 | vel:  3.400
act: Idle  | ter: False | rew: -1 | pos:  1.520 | vel:  2.135
